uuid,_source,_target,type,name,desc,access_type,influence_strength
CxnDef.2OHJ0QCHoPp-q-L,id-db672216-1640-11ec-4d13-0050568b5c9f,id-53ac1cc8-2aad-11ec-3eca-0050568bdf9a,Serving,,,,
CxnDef.-2Vho8UUPWck-q-L,id-db672216-1640-11ec-4d13-0050568b5c9f,id-4f985c18-5f45-11ec-288d-0050568b5c9f,Aggregation,,,,
CxnDef.-5HgK4rRdsqT-q-L,id-adbe19e3-3887-11ec-3ed2-0050568bdf9a,id-adbe19e5-3887-11ec-3ed2-0050568bdf9a,Aggregation,,,,
CxnDef.-3xSZVjicB80-q-L,id-67a91628-4ebe-11ec-19af-0050568bdf9a,id-b03da25d-2ab1-11ec-3eca-0050568bdf9a,Association,,,,
CxnDef.1VyPP_NhTQo-q-L,id-0f093e72-2b43-11ec-3ecc-0050568bdf9a,id-0f093e75-2b43-11ec-3ecc-0050568bdf9a,Aggregation,,,,
CxnDef.2ky1TfD-F02-q-L,id-ec467db4-2b30-11ec-3eca-0050568bdf9a,id-385d1897-990a-11eb-32fd-0050568bdf9a,Serving,,,,
CxnDef.4KI10wF0iHH-q-L,id-8ae60e54-1645-11ec-4d13-0050568b5c9f,id-8ae60e56-1645-11ec-4d13-0050568b5c9f,Serving,,,,
CxnDef.-wGmfh9SkbJ-q-L,id-8ae60e54-1645-11ec-4d13-0050568b5c9f,id-aa69d8ef-46f8-11ec-4d17-0050568b5c9f,Serving,,,,
CxnDef.4JmbVGAlEx9-q-L,id-89930c7f-4eb7-11ec-19af-0050568bdf9a,id-b0a10420-2d87-11ec-3ecd-0050568bdf9a,Association,,,,
CxnDef.4jQpsgOv408-q-L,id-67a91637-4ebe-11ec-19af-0050568bdf9a,id-db67221a-1640-11ec-4d13-0050568b5c9f,Association,,,,
CxnDef.-4FF_pTYtx-H-q-L,id-ca860868-17af-11ec-4d13-0050568b5c9f,id-53ac1cc8-2aad-11ec-3eca-0050568bdf9a,Aggregation,,,,
CxnDef.2LD9vfJ2H9U-q-L,id-ca860868-17af-11ec-4d13-0050568b5c9f,id-ec467db8-2b30-11ec-3eca-0050568bdf9a,Realization,,,,
CxnDef.1eWUC1sVP5c-q-L,id-ca860868-17af-11ec-4d13-0050568b5c9f,id-db672216-1640-11ec-4d13-0050568b5c9f,Aggregation,,,,
CxnDef.-545178VvNkf-q-L,id-89930c7c-4eb7-11ec-19af-0050568bdf9a,id-89930c6c-4eb7-11ec-19af-0050568bdf9a,Association,,,,
CxnDef.-8mjPZkI3Pm-q-L,id-8ae60e59-1645-11ec-4d13-0050568b5c9f,id-ec467db4-2b30-11ec-3eca-0050568bdf9a,Realization,,,,
CxnDef.-6b16WiYZfwq-q-L,id-8ae60e59-1645-11ec-4d13-0050568b5c9f,id-8ae60e56-1645-11ec-4d13-0050568b5c9f,Aggregation,,,,
CxnDef.1mbGeCAa9uJ-q-L,id-8ae60e59-1645-11ec-4d13-0050568b5c9f,id-8ae60e54-1645-11ec-4d13-0050568b5c9f,Aggregation,,,,
CxnDef.-hLJmnrgkNZ-q-L,id-ed8fba01-5cdd-11ec-288d-0050568b5c9f,id-8083d213-7db4-11eb-586f-0050568bd295,Aggregation,,,,
CxnDef.-2swyEr0USn--q-L,id-ed8fba01-5cdd-11ec-288d-0050568b5c9f,id-9886afe0-617e-11ec-19b9-0050568bdf9a,Realization,,,,
CxnDef.-6uMWay9mZ0M-q-L,id-ed8fba01-5cdd-11ec-288d-0050568b5c9f,id-2128b260-ac27-11ec-1702-0050568b2437,Association,,,,
CxnDef.7PlbFWGc1o3-q-L,id-89930c60-4eb7-11ec-19af-0050568bdf9a,id-8ae60e59-1645-11ec-4d13-0050568b5c9f,Association,,,,
CxnDef.1t_76Nhvpnu-q-L,id-db67223b-1640-11ec-4d13-0050568b5c9f,id-5013af77-2ab4-11ec-3eca-0050568bdf9a,Realization,,,,
CxnDef.-6GD8RKaZBBM-q-L,id-db67223b-1640-11ec-4d13-0050568b5c9f,id-db672236-1640-11ec-4d13-0050568b5c9f,Aggregation,,,,
CxnDef.6FyYUukK5xT-q-L,id-db67223b-1640-11ec-4d13-0050568b5c9f,id-db672238-1640-11ec-4d13-0050568b5c9f,Aggregation,,,,
CxnDef.3_EAwJK2Up-q-L,id-53ac1cad-2aad-11ec-3eca-0050568bdf9a,id-8ae60e56-1645-11ec-4d13-0050568b5c9f,Aggregation,,,,
CxnDef.-1jHRXnNM7qb-q-L,id-53ac1cad-2aad-11ec-3eca-0050568bdf9a,id-8ae60e54-1645-11ec-4d13-0050568b5c9f,Aggregation,,,,
CxnDef.4gg8VfKP8O_-q-L,id-53ac1cad-2aad-11ec-3eca-0050568bdf9a,id-aa69d8ef-46f8-11ec-4d17-0050568b5c9f,Aggregation,,,,
CxnDef.-5VuELdgI4Xp-q-L,id-53ac1cad-2aad-11ec-3eca-0050568bdf9a,id-ec467db4-2b30-11ec-3eca-0050568bdf9a,Realization,,,,
CxnDef.-3htHE7amfUx-q-L,id-0f093e79-2b43-11ec-3ecc-0050568bdf9a,id-0f093e7c-2b43-11ec-3ecc-0050568bdf9a,Aggregation,,,,
CxnDef.6DgZjpwtihb-q-L,id-db672232-1640-11ec-4d13-0050568b5c9f,id-db67221a-1640-11ec-4d13-0050568b5c9f,Association,,,,
CxnDef.7YW_wXUj8fn-q-L,id-db672232-1640-11ec-4d13-0050568b5c9f,id-db672228-1640-11ec-4d13-0050568b5c9f,Association,,,,
CxnDef.-1xA9L1zXhSW-q-L,id-adbe19e5-3887-11ec-3ed2-0050568bdf9a,id-adbe19e3-3887-11ec-3ed2-0050568bdf9a,Aggregation,,,,
CxnDef.-3TjIUE2-iaL-q-L,id-0f093e9c-2b43-11ec-3ecc-0050568bdf9a,id-0f093e9f-2b43-11ec-3ecc-0050568bdf9a,Realization,,,,
CxnDef.7_y4JHbhe8h-q-L,id-0f093e9c-2b43-11ec-3ecc-0050568bdf9a,id-aa69d8e1-46f8-11ec-4d17-0050568b5c9f,Association,,,,
CxnDef.-2msdf7fwjbj-q-L,id-a2683af6-962c-11ec-0ac0-0050568b2437,id-a2683b09-962c-11ec-0ac0-0050568b2437,Aggregation,,,,
CxnDef.-4NKIbw3DeLx-q-L,id-a2683af6-962c-11ec-0ac0-0050568b2437,id-a2683afe-962c-11ec-0ac0-0050568b2437,Realization,,,,
CxnDef.2rJhfowoZKb-q-L,id-a2683af6-962c-11ec-0ac0-0050568b2437,id-a2683b07-962c-11ec-0ac0-0050568b2437,Aggregation,,,,
CxnDef.-29aVxvmJ8EO-q-L,id-b0a10420-2d87-11ec-3ecd-0050568bdf9a,id-db672216-1640-11ec-4d13-0050568b5c9f,Aggregation,,,,
CxnDef.4Osx9IK3rM5-q-L,id-b0a10420-2d87-11ec-3ecd-0050568bdf9a,id-ec467db0-2b30-11ec-3eca-0050568bdf9a,Realization,,,,
CxnDef.34NgP6uYPv0-q-L,id-b0a10420-2d87-11ec-3ecd-0050568bdf9a,id-db672218-1640-11ec-4d13-0050568b5c9f,Aggregation,,,,
CxnDef.1fGUuqgzi0g-q-L,id-89930c69-4eb7-11ec-19af-0050568bdf9a,id-ca86086f-17af-11ec-4d13-0050568b5c9f,Association,,,,
CxnDef.-z6T135PRMs-q-L,id-db672238-1640-11ec-4d13-0050568b5c9f,id-db672236-1640-11ec-4d13-0050568b5c9f,Serving,,,,
CxnDef.3aLLn9b39c2-q-L,id-ec467de1-2b30-11ec-3eca-0050568bdf9a,id-b71e787e-ad92-11eb-05d0-0050568b5c9f,Serving,,,,
CxnDef.-39oE1U8Oq3x-q-L,id-ec467de1-2b30-11ec-3eca-0050568bdf9a,id-cd1371de-9902-11eb-32fd-0050568bdf9a,Serving,,,,
CxnDef.-6HN1Aih9ow3-q-L,id-9f4ac8a1-5ce4-11ec-288d-0050568b5c9f,id-2128b260-ac27-11ec-1702-0050568b2437,Association,,,,
CxnDef.-6t5Atd5rk1A-q-L,id-9f4ac8a1-5ce4-11ec-288d-0050568b5c9f,id-9886afe0-617e-11ec-19b9-0050568bdf9a,Realization,,,,
CxnDef.5apFtC6fH_o-q-L,id-8ae60e60-1645-11ec-4d13-0050568b5c9f,id-53ac1cad-2aad-11ec-3eca-0050568bdf9a,Association,,,,
CxnDef.-48maA1aBkyZ-q-L,id-8ae60e60-1645-11ec-4d13-0050568b5c9f,id-b03da250-2ab1-11ec-3eca-0050568bdf9a,Association,,,,
CxnDef.-3Cts-ttENTO-q-L,id-8ae60e60-1645-11ec-4d13-0050568b5c9f,id-db67221a-1640-11ec-4d13-0050568b5c9f,Association,,,,
CxnDef.-5gWPCVTlB0J-q-L,id-8ae60e60-1645-11ec-4d13-0050568b5c9f,id-db67221a-1640-11ec-4d13-0050568b5c9f,Association,,,,
CxnDef.-3jo-0ppvsFt-q-L,id-8ae60e60-1645-11ec-4d13-0050568b5c9f,id-db67221a-1640-11ec-4d13-0050568b5c9f,Association,,,,
CxnDef.3GgUENg4oKJ-q-L,id-8ae60e60-1645-11ec-4d13-0050568b5c9f,id-0f093e72-2b43-11ec-3ecc-0050568bdf9a,Association,,,,
CxnDef.-2eZ98F_GsJ8-q-L,id-8ae60e60-1645-11ec-4d13-0050568b5c9f,id-db67221a-1640-11ec-4d13-0050568b5c9f,Association,,,,
CxnDef.-KtytfiP132-q-L,id-8ae60e60-1645-11ec-4d13-0050568b5c9f,id-8ae60e59-1645-11ec-4d13-0050568b5c9f,Association,,,,
CxnDef.-6Q8JyCsubSu-q-L,id-8ae60e60-1645-11ec-4d13-0050568b5c9f,id-db67221a-1640-11ec-4d13-0050568b5c9f,Association,,,,
CxnDef.-6pE84TQFYoh-q-L,id-8ae60e60-1645-11ec-4d13-0050568b5c9f,id-b0a10420-2d87-11ec-3ecd-0050568bdf9a,Association,,,,
CxnDef.ItvxQAUHvq-q-L,id-8ae60e60-1645-11ec-4d13-0050568b5c9f,id-db67221a-1640-11ec-4d13-0050568b5c9f,Association,,,,
CxnDef.jjLn3eenH9-q-L,id-8ae60e60-1645-11ec-4d13-0050568b5c9f,id-db67221a-1640-11ec-4d13-0050568b5c9f,Association,,,,
